popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5,0.674,0.615,6,-7.534,0,0.0495,0.0384,0,0.341,0.884,164.014,176675,4
5,0.743,0.789,6,-5.336,0,0.301,0.0972,0.000104,0.14,0.333,93.99,182695,4
18,0.9,0.708,11,-6.957,0,0.054,0.00176,0.0129,0.0444,0.965,127.22,268547,4
7,0.604,0.882,0,-3.817,1,0.321,0.0341,0,0.249,0.687,77.445,216000,4
26,0.707,0.963,7,-2.81,1,0.318,0.00946,0,0.115,0.524,88.555,255164,4
25,0.779,0.414,7,-12.168,1,0.398,0.0431,7.12E-05,0.713,0.213,96.271,181627,4
19,0.721,0.642,10,-5.382,0,0.183,0.00189,0.000407,0.0439,0.587,89.55,292640,4
5,0.625,0.871,7,-4.049,1,0.15,0.335,0,0.195,0.799,84.388,253806,4
34,0.789,0.851,7,-5.716,1,0.312,0.17,0,0.114,0.579,115.97,263080,4
3,0.728,0.599,6,-11.624,0,0.237,0.195,0,0.367,0.696,90.776,237093,4
19,0.785,0.614,11,-8.639,1,0.257,0.054,0,0.236,0.652,79.501,281880,4
7,0.948,0.853,4,-10.949,0,0.276,0.156,0,0.0659,0.684,109.69,248200,4
16,0.843,0.753,1,-5.089,1,0.144,0.352,0,0.105,0.74,89.995,141688,4
22,0.706,0.747,9,-3.902,0,0.286,0.00533,0,0.204,0.505,95.549,270493,4
2,0.731,0.79,2,-4.214,1,0.0793,0.0429,0.186,0.0562,0.879,78.506,269240,4
6,0.475,0.874,7,-9.178,1,0.522,0.0287,0,0.812,0.681,163.263,169307,4
3,0.825,0.844,1,-6.152,1,0.262,0.24,0,0.35,0.822,94.96,194093,4
8,0.922,0.639,4,-5.369,0,0.235,0.0123,0.157,0.296,0.721,92.053,266520,4
41,0.838,0.829,5,-3.894,1,0.249,0.113,0,0.198,0.58,137.098,220846,4
15,0.538,0.667,1,-3.291,1,0.0494,0.321,0,0.213,0.21,94.028,195187,4
21,0.811,0.676,1,-8.323,1,0.266,0.0226,0,0.0663,0.588,89.93,205340,4
9,0.734,0.875,8,-4.034,1,0.331,0.49,1.86E-05,0.066,0.977,195.925,241263,4
12,0.767,0.941,0,-2.795,1,0.115,0.0993,1.34E-06,0.235,0.728,121.955,365613,4
2,0.644,0.812,0,-4.146,1,0.352,0.107,2.22E-06,0.774,0.428,103.336,315133,4
13,0.644,0.767,1,-5.289,1,0.223,0.0604,0,0.342,0.336,152.486,204373,4
61,0.914,0.318,7,-10.25,0,0.33,0.358,0,0.0853,0.669,136.057,270597,4
3,0.903,0.761,0,-6.719,0,0.219,0.0607,0.000134,0.112,0.873,95.019,351853,4
40,0.57,0.967,7,-2.55,1,0.295,0.0295,8.50E-05,0.223,0.767,163.828,250333,4
0,0.629,0.676,8,-4.435,1,0.334,0.0462,0,0.369,0.306,97.162,225573,4
65,0.467,0.826,4,-3.885,0,0.049,0.298,0,0.204,0.417,160.025,285250,4
13,0.77,0.924,6,-8.731,1,0.339,0.0548,0,0.533,0.793,100.934,196080,4
5,0.959,0.598,8,-5.534,1,0.0713,0.0358,0,0.358,0.408,127.029,213000,4
0,0.704,0.827,1,-6.914,1,0.327,0.172,0,0.14,0.434,120,233647,4
11,0.852,0.741,1,-5.435,0,0.134,0.0247,0.00108,0.0974,0.534,97.885,241360,4
6,0.583,0.732,0,-7.19,1,0.135,0.212,0,0.0594,0.69,170.798,250234,4
12,0.761,0.747,1,-6.472,1,0.289,0.222,0,0.365,0.909,94.202,192027,4
24,0.831,0.32,1,-9.293,0,0.0487,0.0648,2.86E-06,0.111,0.0689,122.007,251855,4
4,0.872,0.519,11,-6.531,1,0.177,0.203,0,0.108,0.154,95.006,175230,4
11,0.746,0.793,11,-4.107,0,0.323,0.141,0,0.149,0.354,92.445,254600,4
33,0.763,0.704,0,-4.69,1,0.0586,0.0067,1.18E-05,0.129,0.428,108.963,369320,4
0,0.861,0.58,8,-7.07,0,0.338,0.0188,2.22E-06,0.0767,0.805,157.875,153478,4
8,0.671,0.789,10,-6.244,0,0.339,0.263,0,0.126,0.813,96.095,163906,4
16,0.736,0.553,10,-10.688,0,0.333,0.134,0,0.0817,0.712,94.066,191693,4
29,0.471,0.415,2,-12.538,1,0.0329,0.106,0.554,0.557,0.266,87.714,155504,4
16,0.634,0.607,7,-7.881,0,0.0706,0.811,0,0.1,0.83,79.98,181890,4
0,0.903,0.516,8,-8.268,1,0.089,0.145,0.33,0.127,0.54,126.467,168854,4
1,0.661,0.879,1,-2.356,1,0.373,0.661,0,0.0612,0.696,172.024,184187,4
0,0.748,0.706,8,-4.763,1,0.0412,0.268,0.000204,0.0655,0.942,141.011,249627,4
41,0.722,0.568,7,-8.227,0,0.0293,0.198,0,0.0743,0.633,91.91,274387,4
11,0.707,0.686,1,-6.325,0,0.294,0.193,0,0.111,0.731,88.194,193493,4
2,0.734,0.635,10,-5.431,0,0.203,0.19,0,0.103,0.878,90.001,172030,4
40,0.736,0.828,11,-5.835,0,0.284,0.477,0,0.251,0.899,91.224,274938,4
19,0.712,0.568,9,-5.893,0,0.0379,0.745,0,0.109,0.584,117.98,215304,4
24,0.481,0.774,2,-4.528,1,0.0376,0.589,0,0.141,0.249,80.028,219841,4
5,0.665,0.96,6,-4.053,0,0.374,0.127,0,0.398,0.693,131.336,152593,5
43,0.796,0.621,0,-7.954,1,0.346,0.189,0,0.322,0.834,92.232,214600,4
38,0.368,0.527,5,-10.766,0,0.091,0.879,0.0139,0.112,0.602,69.985,247700,3
8,0.733,0.648,0,-4.531,1,0.0868,0.501,0,0.0905,0.839,140.143,222333,4
6,0.873,0.793,1,-5.901,0,0.049,0.00311,0.00517,0.0756,0.293,116.366,516310,4
0,0.623,0.518,8,-5.929,0,0.327,0.044,0.000177,0.0715,0.657,80.804,271987,4
14,0.677,0.541,9,-8.883,0,0.0563,0.0198,0,0.337,0.438,110.69,228525,4
33,0.676,0.784,11,-3.855,0,0.265,0.00141,0,0.122,0.0542,97.059,279588,4
10,0.78,0.646,7,-9.791,1,0.428,0.116,0,0.0786,0.89,94.621,220520,4
0,0.531,0.513,11,-6.162,1,0.0625,0.663,0,0.634,0.802,98.287,118867,4
43,0.732,0.709,10,-4.145,0,0.147,0.0723,0,0.0859,0.529,136.047,210651,4
24,0.634,0.904,9,-3.821,1,0.292,0.205,0,0.0805,0.784,87.925,265590,4
7,0.87,0.955,8,-1.931,1,0.0541,0.0837,4.03E-05,0.203,0.608,118.992,209779,4
2,0.557,0.735,7,-7.241,1,0.235,0.495,0,0.663,0.466,81.691,123987,4
28,0.826,0.685,1,-8.584,1,0.451,0.0145,0,0.341,0.682,87.378,160456,4
21,0.903,0.635,2,-9.541,1,0.267,0.0964,7.17E-06,0.238,0.652,91.015,252840,4
8,0.819,0.666,4,-6.294,0,0.277,0.00197,0,0.125,0.435,177.389,263267,4
14,0.79,0.931,7,-6.997,1,0.249,0.458,3.36E-05,0.911,0.514,108.428,183427,4
0,0.578,0.562,4,-7.22,0,0.186,0.0015,0,0.357,0.333,140.018,192960,4
41,0.488,0.864,0,-5.849,1,0.384,0.00297,3.38E-06,0.0945,0.327,115.664,225387,5
46,0.488,0.583,3,-11.469,1,0.374,0.756,0,0.197,0.144,89.833,300187,4
14,0.65,0.9,1,-4.099,0,0.374,0.0252,0,0.176,0.659,89.788,206493,4
16,0.792,0.539,7,-11.228,0,0.336,0.0777,0,0.0696,0.738,99.513,233787,4
11,0.659,0.538,11,-11.215,0,0.797,0.169,0,0.107,0.239,121.026,197333,5
21,0.723,0.665,5,-8.711,0,0.177,0.0185,0,0.305,0.742,88.035,227240,4
2,0.65,0.941,0,-3.867,0,0.176,0.223,0,0.502,0.775,90.016,205140,4
59,0.652,0.671,4,-5.376,0,0.315,0.00402,2.89E-05,0.598,0.518,159.963,208387,4
40,0.37,0.418,2,-11.81,0,0.0914,0.511,0,0.312,0.477,60.597,241634,4
28,0.763,0.785,10,-6.472,0,0.23,0.0146,0.0113,0.0817,0.506,93.857,325507,4
0,0.702,0.474,6,-11.898,0,0.448,0.00978,0,0.0773,0.702,73.008,184133,4
0,0.774,0.773,2,-8.533,1,0.333,0.0727,0.104,0.105,0.844,85.65,197267,4
38,0.826,0.49,9,-9.459,0,0.0985,0.196,1.60E-06,0.0504,0.179,119.93,251867,4
33,0.458,0.479,4,-6.861,0,0.326,0.175,8.12E-05,0.0916,0.081,87.017,222817,4
20,0.565,0.738,3,-6.612,0,0.384,0.124,0,0.486,0.762,127.088,202920,5
12,0.761,0.722,7,-4.343,1,0.391,0.12,0,0.0649,0.798,92.45,246753,4
33,0.759,0.782,11,-6.975,0,0.0741,0.000589,0,0.35,0.507,131.04,352853,4
5,0.796,0.902,11,-6.235,1,0.146,0.00201,0,0.153,0.633,101.666,322815,4
42,0.592,0.51,7,-7.271,1,0.49,0.2,4.95E-06,0.201,0.564,84.93,230387,4
56,0.482,0.696,0,-6.646,0,0.089,0.285,2.03E-06,0.115,0.655,183.932,230431,4
17,0.74,0.804,6,-9.467,0,0.0679,0.0185,4.81E-05,0.0455,0.925,92.488,294547,4
25,0.86,0.505,0,-7.686,1,0.25,0.322,0,0.295,0.61,112.363,214038,4
8,0.865,0.633,0,-7.023,0,0.107,0.0305,0,0.136,0.31,110.051,212213,4
23,0.725,0.635,7,-4.831,1,0.238,0.00529,0,0.0484,0.724,160.037,242267,4
0,0.517,0.747,6,-4.74,0,0.295,0.0189,7.32E-06,0.0821,0.506,102.033,171980,4
7,0.838,0.474,10,-12.115,0,0.464,0.341,0,0.217,0.821,90.598,249653,4
7,0.603,0.636,5,-5.379,0,0.262,0.903,0,0.104,0.761,124.098,112893,3
19,0.765,0.649,11,-8.062,0,0.317,0.0196,2.98E-05,0.0651,0.805,179.926,275133,4
14,0.831,0.443,7,-9.777,1,0.421,0.209,0,0.119,0.773,93.005,315080,4
51,0.472,0.937,9,-5.464,1,0.0639,0.375,0.000101,0.325,0.324,179.999,246726,4
21,0.767,0.623,10,-8.525,0,0.451,0.000336,0.0133,0.0932,0.865,179.168,327427,4
7,0.809,0.516,1,-8.724,1,0.102,0.111,0,0.172,0.455,143.262,274680,4
27,0.915,0.559,8,-10.213,1,0.319,0.00129,8.07E-06,0.0565,0.489,129.973,118154,4
1,0.652,0.809,5,-5.276,1,0.17,0.164,0,0.175,0.512,94.786,254466,4
29,0.711,0.749,6,-3.956,0,0.0842,0.00351,0,0.104,0.332,140.009,260577,4
0,0.773,0.557,1,-7.852,1,0.357,0.0229,0,0.565,0.328,92.148,97067,4
