uri,title,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres,followers_0,followers_1,followers_2,followers_3,followers_4,followers_5,followers_6
6MS8k4z2YhIHXGVnfpqjTu,Numero10 (feat. Ernia & Quentin40),43,63.33333333,0.798,0.587,1,-8.641,1,0.278,0.203,0,0.143,0.612,102.01,145182,4,3,1,0,0,629141,0,0,0,0
6MgjsSUoBTgFEd2gY8WVbD,Ora o mai più,50,63,0.545,0.899,5,-3.177,0,0.329,0.254,0,0.35,0.747,98.341,153600,4,1,1,0,0,291336,0,0,0,0
6Mp7YpHLtFGmmPxygBN9VG,Sogni al cielo,68,56,0.331,0.557,3,-4.619,1,0.0395,0.349,0,0.0683,0.194,185.959,180968,3,1,1,19000,0,0,0,0,0,0
6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,81,81,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,153294,1,1,1,0,0,0,0,0,1776246,0
6NAbLPUknE9nKxQJeFGFKa,Nei treni la notte,61,67,0.506,0.535,9,-6.583,0,0.0701,0.156,6.24E-05,0.36,0.658,69.656,184146,4,1,1,0,0,435006,0,0,0,0
6NDdRzsm3XvN4r9cb4Ls5J,"Yaad Piya Ki Aane Lagi (From ""Yaad Piya Ki Aane Lagi"")",0,79,0.858,0.833,5,-3.747,0,0.0471,0.375,0,0.112,0.693,107.975,256678,4,1,1,0,27106128,0,0,0,0,0
6NME9WI9qZYjklgLdP2wF1,SKUSKU (feat. Pyrex),60,61.5,0.826,0.644,2,-9.076,1,0.199,0.0179,0,0.0672,0.258,120.117,224000,4,2,2,0,0,19329,0,487013,0,0
6NXOZyaOxNxtk9QP7ElIVd,"Waltz No. 1 in E-Flat Major, Op. 18 ""Grande valse brillante"": Vivo",0,61,0.38,0.118,8,-21.595,1,0.0466,0.994,0.9,0.0811,0.365,82.419,307333,4,2,1,2627206,0,0,0,0,0,0
6Nez6QuNnd0DLgZxvUTZDP,S,0,4,0.196,0.813,1,-29.917,0,0.0485,0.807,0.923,0.842,1.00E-05,87.832,60029,3,1,1,27,0,0,0,0,0,0
6NnO2rbViEDhX6wewADukc,Casa Mia (feat. Luchè & Capo Plaza),58,70,0.465,0.738,1,-7.872,1,0.375,0.142,0,0.335,0.289,188.133,162160,4,3,1,0,0,3100308,0,0,0,0
6Nrk9XnXq7Gfjy4vGmkrMq,Scusa,55,70,0.673,0.469,2,-5.725,1,0.0326,0.546,0,0.142,0.374,129.934,210361,4,1,1,0,0,0,0,572724,0,0
6O20JhBJPePEkBdrB5sqRx,Diamonds,78,91,0.564,0.71,11,-4.92,0,0.0461,0.00125,0,0.109,0.393,91.972,225147,4,1,1,0,0,0,0,0,46444731,0
6O5TrlFWTYvznd9fMC0VvU,When We Were Young,84,96,0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,290900,4,1,1,0,0,0,0,0,32617041,0
6O73S0XR0NnKkCMGfk51WC,Tenerife Sea,2,97,0.526,0.345,8,-10.497,1,0.0374,0.7,1.13E-05,0.105,0.357,121.877,241347,4,1,1,0,0,0,0,0,90231430,0
6O7fPYTsb2mY0PiFt2ymDB,Aim For The Moon (feat. Quavo),67,86,0.713,0.605,11,-7.487,1,0.107,0.497,3.46E-06,0.115,0.432,142.025,175756,4,2,2,8721767,0,5416045,0,0,0,0
6OGWh0Rp9MTTR0XcJHTukw,"Herz und Mund und Tat und Leben, BWV 147, Pt. 2: X. Coro. Jesu bleibet meine Freude",14,48.5,0.206,0.144,6,-17.728,1,0.0461,0.944,0.771,0.111,0.142,112.478,191133,4,4,1,3482906,0,0,0,0,0,0
6OGogr19zPTM4BALXuMQpF,Take My Breath,86,97,0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18E-05,0.101,0.518,121.004,220196,4,1,1,0,0,0,0,0,40135257,0
6OMnIqBYSBEOIMuXkiHT2a,Cose che non vuoi sentirti dire,58,66,0.723,0.569,10,-8.485,0,0.506,0.863,0,0.126,0.144,73.109,167671,4,1,1,0,0,433248,0,0,0,0
6OVTR9jqJj6tlJiADrNq0F,Anna E Marco,57,63,0.513,0.471,10,-15.953,1,0.0697,0.297,0,0.119,0.638,132.241,221093,4,1,1,0,0,0,0,811801,0,0
6OYZvwKN8GaauTrJS1TuuH,Dancing On Dangerous (feat. Sofía Reyes),71,79,0.659,0.86,1,-2.927,0,0.0507,0.226,3.32E-06,0.0902,0.711,105.063,124065,4,3,2,0,0,0,129757,0,3705152,0
6Ochi1refEuPVN0Ik3v9Ue,Wu-Tang,56,73,0.632,0.914,1,-4.935,1,0.103,0.37,0,0.136,0.633,150.168,145967,4,1,1,0,0,1770059,0,0,0,0
6OdxXE0sfU4i4cX8fajMYc,Unwell,0,70,0.219,0.781,9,-5.373,1,0.0431,0.0341,0,0.348,0.432,79.099,234227,4,1,1,0,2013067,0,0,0,0,0
6OtCIsQZ64Vs1EbzztvAv4,Good Life,74,85,0.634,0.69,6,-7.804,1,0.052,0.0771,0,0.132,0.645,94.988,253307,4,1,1,0,12926117,0,0,0,0,0
6OtdNUVZwhQZnu0HSfeM9p,La Rete,56,57,0.619,0.887,10,-3.55,1,0.0594,0.0327,0,0.0576,0.561,141.987,199195,4,1,1,0,0,0,0,548322,0,0
6OufwUcCqo81guU2jAlDVP,Love Tonight - Edit,87,77,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,4,1,1,53553,0,0,0,0,0,0
6OzeWNA1SQgZBw5caqAIKN,Centro Di Gravità Permanente - Remastered,59,62,0.76,0.561,0,-10.832,1,0.0297,0.112,5.99E-06,0.0406,0.683,131.13,239065,4,1,1,0,0,0,0,499632,0,0
6Ozh9Ok6h4Oi1wUSLtBseN,BOP,81,90,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,159715,4,1,1,0,0,8787956,0,0,0,0
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,80,97,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,261154,4,1,1,0,0,0,0,0,90231430,0
6PDlkWmrq2ZKiUuFt2aQsH,Loco,85,81.33333333,0.77,0.899,8,-2.981,1,0.0494,0.222,1.14E-06,0.0894,0.851,128.05,231604,4,3,1,0,0,0,0,0,0,5935616
6PUIzlqotEmPuBfjbwYWOB,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,76,78.5,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53E-06,0.13,0.11,126.052,214912,4,2,2,94965,0,0,0,0,14912715,0
6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,81,74,0.98,0.413,8,-11.052,0,0.101,0.671,7.95E-05,0.17,0.764,119.993,180139,4,1,1,293490,0,0,0,0,0,0
6PiJ58A9riOxu2sIjahGy9,Best Life,0,83.5,0.62,0.625,9,-7.438,1,0.553,0.288,0,0.314,0.665,167.911,284856,4,2,2,0,0,5507539,0,0,18852369,0
6PypGyiu0Y2lCDBN1XZEnP,Everybody Hurts,76,76,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,320267,3,1,1,0,3317768,0,0,0,0,0
6Q0ZovSLjoTyDXxXXs39dw,Appesi Alla Luna,42,48,0.579,0.467,2,-10.123,1,0.0277,0.475,1.57E-05,0.112,0.32,77.024,222760,4,1,1,0,0,0,0,0,114901,0
6Q5BuRgXZOWItqzvZfjKxw,GIRASOLE,59,56,0.682,0.89,1,-4.986,0,0.0563,0.532,0,0.152,0.827,140.119,197453,4,1,1,0,0,16566,0,0,0,0
6QJY9hgSJmbkXa16ypZy9G,September (with Zucchero),56,71.5,0.703,0.543,10,-7.947,0,0.0326,0.251,0.000231,0.113,0.0836,95.026,207994,4,2,2,0,2475799,0,0,710976,0,0
6QYX8ZfG0ICSkqTaASvycX,Stanotte,59,65.5,0.625,0.498,9,-10.561,1,0.033,0.584,0,0.0684,0.315,105.019,170170,4,2,2,0,0,470030,0,93182,0,0
6QZqTHoe5BSdOTMllulIv1,Allenamento #3,55,58.66666667,0.686,0.574,1,-8.304,1,0.375,0.153,0,0.289,0.232,150.075,166404,4,3,2,1439,0,3100308,0,0,0,0
6QdpWtl3Fq3JFjTL53X03D,Ma te vulisse fà na gara e ballo?,47,32,0.898,0.95,2,-7.141,0,0.0463,0.153,0.00163,0.26,0.968,134.954,152000,4,1,1,1569,0,0,0,0,0,0
6Qyc6fS4DsZjB2mRW9DsQs,Iris,81,73,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97E-06,0.0942,0.497,155.925,289533,3,1,1,0,2092540,0,0,0,0,0
6QzwX3CzdUZ64oSRG32XWt,Stars Collide (Mixed) - XiJaro & Pitch Remix,22,48,0.452,0.979,7,-8.337,1,0.0799,8.90E-06,0.142,0.311,0.455,135.974,84693,4,3,1,7811,0,0,0,0,0,0
6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),79,90,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,4,1,1,0,0,18990071,0,0,0,0
6RHHbAbyIcPpvS1dP3KUGq,Running Up That Hill,66,70,0.45,0.356,10,-13.692,0,0.0337,0.269,0.515,0.0944,0.0839,179.937,297320,4,1,1,0,1558703,0,0,0,0,0
6RMfJOrZlRZjSyGAGHAZAk,Hell Is Open,38,24,0.419,0.99,1,-4.513,1,0.116,0.000197,0.331,0.0301,0.375,192.063,282734,4,1,1,87,0,0,0,0,0,0
6RNDeRnWsRMjPdNVgupZCs,I Just Called To Say I Love You,77,82,0.748,0.551,1,-9.054,1,0.0239,0.243,1.57E-06,0.0943,0.65,113.535,262240,4,1,1,0,0,0,0,0,5415652,0
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,85,88.5,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160,4,2,2,0,33384131,0,18653131,0,0,0
6Rg0AJvt1xa4hR2QH2fUhb,Sorriso (Milano Dateo),60,65,0.604,0.59,8,-7.469,1,0.0318,0.362,0,0.0959,0.359,90.994,177145,4,1,1,0,0,0,0,558583,0,0
