"uri","title","popularity","base_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","n_artists","n_genres","followers"
"05f8Hg3RSfiPSCBQOtxl3i","When the Levee Breaks - Remaster",1.96763360933317,81,0.271,0.766,5,-8.03,1,0.0329,0.00217,0.52,0.0707,0.803,142.914,428851,4,1,1,11631347
"05fmJQJp2ODhF8BWhohgb6","Que Locura",2.06984228209388,94,0.794,0.793,0,-5.809,0,0.0543,0.208,4.95e-05,0.158,0.805,112.999,198720,4,1,1,31610457
"068wCIIVm2y0eaDwDzbihX","Una storia disonesta",5.35727484381901,34,0.533,0.445,10,-8.97,1,0.14,0.351,0,0.473,0.652,125.969,163097,4,1,1,13746
"06KyNuuMOX1ROXRhj787tj","We Don't Talk Anymore (feat. Selena Gomez)",3.39709026401123,84,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,217707,4,2,1,32177726
"06OBAy97uVyHCZvonvgfE2","Veleno 8 (feat. Gemitaiz)",3.40549070725038,72.5,0.837,0.732,2,-7.875,1,0.264,0.229,0,0.288,0.71,142.001,182473,4,2,1,1814554
"06RGdoTHoxRRIadjK6l8hx","Il bambino che contava le stelle",3.42039104548917,72,0.707,0.39,6,-6.81,0,0.0419,0.758,0,0.17,0.439,89.9,147973,4,1,1,2572169
"06eHoqzg3QRj0uHeQMCKH4","Crack (feat. Salmo & Massimo Pericolo)",2.63025882551052,73.33333333,0.509,0.753,0,-4.317,1,0.0532,0.236,0,0.525,0.596,76.196,226549,4,3,1,2134380
"06pcJklH8rf0T5aHN64DTN","Colpa del vino",0.899596871323585,67,0.679,0.623,7,-5.352,1,0.215,0.296,0,0.102,0.717,81.334,173333,4,1,1,435006
"073yIM7v2j6XadD4Nkn0Fh","Dile (Homenaje)",4.99469739096823,90,0.764,0.745,5,-4.563,0,0.0475,0.0488,0,0.172,0.727,93.013,228933,4,1,1,3206632
"079Ey5uxL04AKPQgVQwx5h","Baila Conmigo (with Rauw Alejandro)",2.98518696250318,90,0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088,4,2,1,32177726
"07MDkzWARZaLEdKxo6yArG","Meet Me At Our Spot",5.45289911281184,79.66666667,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4,3,2,1901731
"07ShpyCaAqfCseA3fWFFMY","Life Goes On (feat. Trippie Redd & Ski Mask The Slump God)",2.33365666716363,84,0.698,0.799,0,-3.682,1,0.0498,0.109,0,0.0942,0.571,79.962,182492,4,3,2,7045660
"07V1nmLbq85pxIm9FP44ar","I Cavalieri dello Zodiaco",1.72622177884681,51,0.705,0.982,4,-4.146,0,0.0498,0.0408,0,0.0523,0.88,136.039,208480,4,1,1,61764
"07WZiii3438ia3OLnv4nqW","Tu che ne sai (feat. Zoda)",5.20901175829482,48.5,0.504,0.63,5,-7.579,1,0.0655,0.0748,0,0.35,0.313,160.007,216000,4,2,1,171776
"07aX40BAJv8kfjw5NvYIEW","V",0.542325137683584,34,0.233,0.216,11,-17.901,0,0.0326,0.0279,0.356,0.0921,0.35,96.179,384707,4,1,1,17643
"07f2HejhuIzp37RK60brsJ","Guersace",0.861705599564911,81,0.737,0.837,1,-5.221,0,0.0764,0.0832,0,0.36,0.802,97.907,194000,4,1,1,1778304
"07gdXx27doa2tNadvelcpS","IQOS - feat. Ernia",1.51650474610752,63.33333333,0.796,0.586,8,-8.189,1,0.0691,0.58,0.00174,0.11,0.487,97.461,160551,4,3,1,629141
"07gymOwh7qRT6Y2g14CgDe","Non",1.77890813799955,48,0.518,0.816,1,-6.351,0,0.0449,0.0422,0.000196,0.0953,0.529,139.97,251533,4,1,1,114901
"07nH4ifBxUB4lZcsf44Brn","Blame (feat. John Newman)",3.59226740974126,79.5,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960,4,2,2,22396997
"07q0QVgO56EorrSGHC48y3","I Was Made For Lovin' You",4.74735835095853,76,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,271240,4,1,1,6659695
"07qo9gnLM488CUr0EtgIA1","Poetica",3.14901811315777,65,0.393,0.607,7,-6.569,1,0.0339,0.014,0,0.0721,0.202,139.807,293960,3,1,1,818589
"07rcGwKWiPx4fTnu96hWXS","Feeling Better",2.54235598310185,55,0.58,0.764,1,-6.072,1,0.0576,0.0281,9e-04,0.112,0.557,101.892,179867,4,1,1,279516
"0815caqt2Lytro5EIzMufT","You And Me",5.07725217046212,68,0.459,0.427,7,-7.734,1,0.0267,0.114,0,0.168,0.354,139.902,195493,3,1,1,1732106
"0824Kyozhv4yBbM86aBFCG","BELLA STORIA",2.14420061704898,73,0.677,0.878,11,-5.013,0,0.117,0.075,0,0.193,0.65,97.998,176480,4,1,1,1719801
"083twR8MMYMBD8xTbzPsnI","K",1.43270595205341,40,0.575,0.336,4,-12.881,0,0.029,0.89,0.598,0.196,0.0583,80.995,218242,4,1,1,14491
"086myS9r57YsLbJpU0TgK9","Why'd You Only Call Me When You're High?",2.20929204684017,87,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4,1,1,13399347
"08BhfyKUXxZrnyHrDavNHP","The Christmas Waltz",3.46717921495991,79,0.442,0.288,6,-11.793,1,0.0327,0.911,6.59e-06,0.0987,0.358,107.122,199093,3,1,1,702434
