artist,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres
4mh3iy6yf2oZYSiy2fdccM,62,61,0.668,0.808,1,-5.292,0,0.0989,0.00809,1,0.599,0.789,119.978,164500,4,2,2
4MR6tQyIrWK82b56cYPBDv,50,56,0.349,0.319,4,-11.917,1,0.0293,0.875,1,0.111,0.314,81.723,191565,4,1,1
4mrBetqy378Jf1y6NLszlx,58,65.25,0.6805,0.861,8,-4.64,0.5,0.09735,0.020135,1,0.17405,0.09845,124.947,155184,4,2,2
4MU4rC7z6JpqxqbHDqtz7H,59,66.5,0.795,0.638,7,-4.717,0,0.0638,0.17,0,0.284,0.704,104.93,201143,4,2,2
4MVyzYMgTwdP7Z49wAZHx0,83,75,0.596,0.605,7,-12.145,1,0.0255,0.181,1,0.0863,0.886,97.798,283800,4,1,1
4mW1PRTVIA38Yv9ZDezrj5,29,28.41666667,0.669,0.63,7,-6.947,1,0.206,0.0249,0,0.134,0.732,82.424,256811,4,12,1
4MXUO7sVCaFgFjoTI5ox5c,76,76,0.435,0.104,6,-22.39,0,0.0445,0.973,1,0.119,0.162,120.484,279316,4,1,1
4myTppRgh0rojLxx8RycOp,73,73.61666667,0.727333333,0.745,5,-5.666333333,0.666666667,0.172633333,0.048166667,0,0.160766667,0.795666667,119.194,238121.3333,4,4.333333333,2
4N2lZcytbZifGelhVEpMeK,9,53,0.608,0.791,7,-6.627,1,0.0336,0.0389,1,0.187,0.127,129.996,260205,4,2,2
4n4FiT5gxYtpRVraXWA0X3,15,41.33333333,0.659,0.0297,4,-24.575,0,0.0418,0.936,1,0.155,0.184,125.997,117143,3,3,1
4nDoRrQiYLoBzwC5BhVJzF,77.5,86.60416667,0.62225,0.66325,4.75,-6.725,0.25,0.075425,0.285175,0,0.099025,0.49825,106.9445,197649.75,4,2.5,2.25
4nEdEgQfSSo77XGbTNMNy9,15,21.66666667,0.591,0.762,6,-6.544,0,0.036,0.0000779,1,0.0551,0.246,122.002,383607,4,3,2
4NHQUGzhtTLFvgF5SZesLK,73.33333333,77.33333333,0.735,0.696,4.333333333,-5.341333333,0.333333333,0.0335,0.056013333,0,0.0867,0.1789,117.004,235324.6667,4,1.333333333,1.333333333
4njdEjTnLfcGImKZu1iSrz,78,67,0.826,0.436,1,-9.583,1,0.0558,0.441,1,0.0964,0.272,119.051,259093,4,1,1
4npEfmQ6YuiwW1GpUmaq3F,80.125,82.78125,0.66175,0.706625,2.25,-4.714625,0.25,0.07275,0.1479575,0,0.1803875,0.491625,123.2395,171391.25,4,1.875,1.625
4nTnJuhLXyyNms4wowqmkQ,38,39,0.52,0.511,11,-8.866,0,0.0694,0.655,0,0.13,0.182,99.486,124000,4,1,1
4Nu4KKwGo67t4o3voxg9oN,36,32,0.62,0.658,10,-7.784,1,0.0733,0.237,0,0.0922,0.512,129.919,149326,4,2,1
4nVlr3WO33XWrBFDwtUlW4,56,55,0.55,0.612,4,-3.681,1,0.0293,0.0693,0,0.0907,0.293,154.094,267667,4,2,2
4nXNT34X5GQ8yTBttXtbY6,44,56,0.891,0.61,10,-5.177,0,0.336,0.0968,0,0.0931,0.581,150.009,156028,4,3,1
4nzxzYUyLUfWstdyBS5Hzx,31,17,0.307,0.316,2,-14.579,0,0.0323,0.871,1,0.342,0.0641,104.312,300000,4,1,1
4o0NtnL2m0lzZmEdRas1qv,61,73.5,0.806,0.711,7,-6.607,1,0.0527,0.00783,0,0.063,0.745,124.92,197907,4,2,2
4O15NlyKLIASxsJ0PrXPfz,80.8,88.7,0.749,0.6518,8.4,-6.1626,0.4,0.1405,0.137888,0,0.141,0.4754,124.4208,218750.4,4,2,1.4
4o4tLTIJ3eWMFerz73atcT,72,65,0.953,0.453,10,-7.197,1,0.07,0.0605,1,0.625,0.0368,126.009,203810,4,1,1
4obzFoKoKRHIphyHzJ35G3,80.33333333,82.83333333,0.860666667,0.776333333,5.666666667,-3.630333333,0.333333333,0.1146,0.2088,0,0.204533333,0.870333333,128.3133333,186363.3333,4,2,1.333333333
4oEO6Ud3efrjTNSR9SMleI,51.8,61.61666667,0.6005,0.6871,6.5,-6.0529,0.1,0.23508,0.300473,0,0.11073,0.42328,116.7346,175614.4,4.1,2.3,2.1
4ofCBoyEiGSePFAG500xev,75.33333333,77.44444444,0.703,0.809666667,5.666666667,-4.748666667,0.333333333,0.055733333,0.04536,0,0.147233333,0.587666667,116.38,191774,4,2.666666667,1.666666667
4ogvuDRerGhZfSf7TtzHlr,72,66,0.671,0.153,0,-13.569,1,0.0404,0.912,0,0.0771,0.658,85.6,211933,4,1,1
