popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
68,0.378,0.974,6,-4.055,1,0.194,0.00192,0.0139,0.0588,0.824,203.715,169187
71,0.834,0.878,8,-9.484,1,0.15,0.0461,0,0.334,0.418,102.848,258688
60,0.405,0.152,0,-13.901,1,0.0395,0.979,9.07E-05,0.104,0.383,61.34,245040
71,0.601,0.574,2,-8.166,1,0.03,0.579,1.14E-05,0.216,0.8,147.964,214080
34,0.32,0.943,6,-5.789,0,0.126,0.00497,0.192,0.0984,0.49,166.524,178293
47,0.371,0.854,2,-5.91,1,0.0288,4.84E-06,0.845,0.0617,0.568,97.517,196600
71,0.521,0.301,4,-7.118,0,0.0356,0.836,0,0.398,0.621,137.382,125227
48,0.592,0.627,10,-10.14,1,0.0662,0.55,0,0.43,0.909,79.567,111240
63,0.813,0.693,10,-8,0,0.266,0.0341,0,0.121,0.618,103.508,391693
79,0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,213307
40,0.374,0.895,4,-4.552,1,0.0351,0.000163,0.0119,0.164,0.533,113.992,166400
62,0.85,0.657,9,-7.078,0,0.166,0.14,0.0192,0.0939,0.843,137.971,265667
55,0.672,0.243,0,-11.634,1,0.0281,0.774,1.79E-05,0.082,0.689,127.716,161640
71,0.619,0.22,0,-13.843,1,0.0672,0.782,1.19E-05,0.124,0.426,75.143,258835
71,0.762,0.651,0,-13.34,1,0.0655,0.00198,0.856,0.111,0.941,130.395,449160
57,0.682,0.612,8,-7.004,0,0.0381,0.284,0,0.0783,0.845,127.647,163280
64,0.694,0.881,1,-4.053,0,0.0701,0.0153,0.0196,0.0851,0.924,121.554,231787
45,0.327,0.84,0,-6.068,0,0.107,0.146,0.00013,0.144,0.655,94.723,200173
81,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293
65,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76E-05,0.444,0.639,120.336,149467
47,0.606,0.0977,3,-15.668,1,0.0451,0.962,0.00148,0.126,0.551,105.593,139693
68,0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.192,0.272,193.438,192587
81,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773
73,0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,244587
61,0.258,0.139,2,-13.522,1,0.0317,0.868,0.00149,0.1,0.139,77.995,345400
38,0.459,0.889,1,-3.245,1,0.0486,0.451,0.112,0.306,0.454,115.669,423680
81,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34E-06,0.518,0.507,80.063,404107
63,0.451,0.364,9,-13.126,1,0.0436,0.469,0,0.197,0.298,154.206,444053
60,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,214880
50,0.589,0.963,10,-3.803,1,0.0407,0.00742,0.468,0.0928,0.911,118.851,234360
78,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,256000
64,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69E-06,0.118,0.849,111.919,157160
72,0.59,0.828,0,-6.28,1,0.0439,0.277,5.57E-06,0.0868,0.636,111.353,329680
68,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93E-06,0.0715,0.915,167.396,146480
75,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,325507
53,0.745,0.586,0,-12.487,1,0.0359,0.457,0.000295,0.119,0.604,115.857,456640
